name,year,value
Vinyl Single,1984,704700000
Vinyl Single,1985,640100000
Vinyl Single,1986,510100000
Vinyl Single,1987,438700000
Vinyl Single,1988,373800000
Vinyl Single,1989,230100000
Vinyl Single,1990,177000000
Vinyl Single,1991,115000000
Vinyl Single,1992,116000000
Vinyl Single,1993,86900000
Vinyl Single,1994,78100000
Vinyl Single,1995,75100000
Vinyl Single,1996,74200000
Vinyl Single,1997,54400000
Vinyl Single,1998,38600000
Vinyl Single,1999,41000000
Vinyl Single,2000,37400000
Vinyl Single,2001,43500000
Vinyl Single,2002,33900000
Vinyl Single,2003,28600000
Vinyl Single,2004,25800000
Vinyl Single,2005,16600000
Vinyl Single,2006,12000000
Vinyl Single,2007,4700000
Vinyl Single,2008,3300000
Vinyl Single,2009,2900000
Vinyl Single,2010,2600000
Vinyl Single,2011,5000000
Vinyl Single,2012,5200000
Vinyl Single,2013,3200000
Vinyl Single,2014,5800000
Vinyl Single,2015,6100000
Vinyl Single,2016,5100000
Vinyl Single,2017,6200000
Vinyl Single,2018,5300000
